D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,M1,M2,M3,M4,M5,M6,G1,G2,G3,G4,G5,G6,G7,G8,G9,R1,R2,R3,R4,R5,R6,R7,R8,T1,T2
123.5539458,23.1309761,21.52728943,1.587301587,33.33333333,93.75,15.34576484,28.96747104,0.529758529,49.45293739,1.026319256,1.753714515,10.58214109,0.007637348,4.573741172,0.544685037,17.18053787,0.396922589,0.002215728,0.04787776,0.757603061,0.022647549,1.4845483,196110006.8,221.6447565,1944.422572,11496139.31,44.07940786,1051.065797,8597.702257,1.642726768,-18.40011664,0.077884866,2374820.791,1128989.884,22971.66221,5791.728378,5.46875,0.064397,58706,0.11212,0.027082,902000,16626,8022,1705.7,0.000156593,0.009699652
145.2367631,13.00322571,12.66583929,0,8,46.875,8.997164975,15.31219629,0.587581612,54.00004566,0.943594862,748.4360714,549.2528329,4.329934231,54.27712116,291.15139,1359.997938,0.300603378,1.34E-03,0.131158858,0.576920246,0.023725123,0.936970406,17613214.65,65.36137825,314.7468459,99462277.18,152.2926467,2709.29,505.3975957,-0.400410843,-11.15532663,0.092732482,43051.51401,28931.13375,730.8609848,370.4423108,1.7890625,1.1813,7868.1,1.0615,0.029589,65946,2128.6,5576.1,1080.8,0.003657674,0.046435045
153.774422,107.8425878,157.3384172,10.38961039,16.88311688,31.25,111.9942822,104.8901088,1.06772968,50.23977239,0.64378833,55.2805228,47.69183524,0.379037941,18.81180104,22.68510029,122.8308095,0.170362206,0.002109615,0.008495143,0.706178181,0.01217584,1.379524879,143237941.4,168.3915676,8948.15744,64617170.7,112.3234985,4211.916739,14448.52776,3.258769597,-2.299103033,0.006512113,5151995.623,2628101.352,67866.4905,22837.36902,12.828125,0.7961,46210,2.1584,0.033253,2000000,73719,9428.4,2416.6,0.002652426,0.077575395
121.0880928,30.86772665,40.09493666,6.666666667,48.33333333,93.75,28.59227061,33.21658538,0.860782958,51.09926752,0.637446495,2106.813053,1716.96201,10.70070824,86.65913954,802.3620674,3926.039945,0.199855262,0.002416002,0.040132915,0.433462962,0.011956684,0.716638716,2231788335,760.1564242,3357.96423,30933597.33,74.32158297,2532.586139,9418.010399,0.5984809,-14.4306881,0.03933316,1583427.767,847955.3071,17484.38069,780.004186,2.109375,0.05878,115000,0.049904,0.031538,54028,51872,14593,2806.3,0.010324486,-0.276815773
136.6699967,76.9823965,98.14754137,37.14285714,62.85714286,109.375,69.70629959,60.60826341,1.150112141,54.29397219,0.494378936,196.7048031,170.2527424,1.536684164,61.52317747,90.70619452,431.6281282,0.34459972,0.001784659,0.065525658,0.619930688,0.009343555,1.146926759,2033354388,726.4161464,1839.433244,150885482.2,184.1085954,5398.525313,44970.51063,4.144389128,-60.32373091,0.075540505,40772476.27,21301996.38,461405.5496,36124.15638,11.34375,-0.25466,17007,0.47112,0.030911,1040000,8931.6,7155.5,1232.6,0.009031255,-0.151387445
142.8035014,146.426176,178.3277878,9.589041096,19.17808219,70.3125,126.9815417,165.0760985,0.76923033,52.38340142,0.836010489,58.44777411,77.50064433,0.351926434,28.50156708,23.24374058,165.8791913,0.340535331,0.002301698,0.02254014,0.706593483,0.020975811,1.431275639,340990973.6,286.9165027,6480.340756,4962216.465,31.15880486,321.4564635,-14336.4383,2.178032634,-57.0704015,0.072414691,4355245.305,2248010.042,62705.11793,13272.11682,10.7265625,-0.83082,10995,0.49099,0.037061,1310000,21236,8017.5,1574.9,0.001900984,-0.008811023
153.3669836,18.64556253,9.453724523,0,3.846153846,39.0625,6.71223539,25.29545528,0.265353413,54.63951852,1.529520743,20.54176172,48.72788252,0.103276,64.76624349,6.847952327,135.2754645,0.398616143,0.001691213,0.093962864,0.780399062,0.045794907,1.859007987,62205384.66,122.9532071,1082.109596,15255479.68,55.73530554,866.5825555,-4750.827696,-0.729835171,-24.15045821,0.042979943,491569.581,300623.9968,5892.353582,1186.391077,0.3828125,-0.70621,140000,0.087444,0.034059,2250000,70125,14411,2991.8,0.100431834,0.590185765
127.3936544,120.890634,157.4462872,47.69230769,78.46153846,117.1875,112.2113057,130.4322561,0.860303342,49.07992227,0.162952815,58.51321398,55.31557577,0.358245019,9.713678287,22.83747338,124.3942334,0.298160156,0.002132394,0.039790418,0.638402552,0.03476388,1.071629658,4582013.473,27.39751526,442.7241256,109144851.6,164.5505667,1346.600094,7337.354061,0.11539481,-23.34868875,0.051575931,1769479.514,659739.4118,13160.16709,45.75384395,3.359375,0.41473,25646,2.1078,0.030674,1620000,47792,12091,2258.7,0.025366205,0.120538882
103.9205192,310.7757357,452.0223626,76,76,62.5,322.8460975,299.8544755,1.076675934,48.16867478,0.630174256,383.1061098,321.7407405,2.445220786,202.4096985,168.4768061,913.9536057,0.397651477,0.001970833,0.119936312,0.662901587,0.036964,1.265251269,47535751.67,96.51390684,3064.965952,160146353.2,195.8378543,3353.187543,-9779.52332,3.285358051,-38.38855127,0.056525137,2023069.137,1054526.177,39315.5634,23504.97459,7.2265625,-0.28556,7484.8,0.22301,0.03781,73448,947.63,4170.5,708.02,0.00050194,-0.036649828
133.7681728,17.61684145,14.32117581,0,15.94202899,78.125,10.16901044,21.25122603,0.47851406,55.25621116,0.9967075,111.9284622,165.5491475,0.730909399,84.63760253,39.54312874,364.876742,0.221051453,0.001049497,0.017042558,0.605028351,0.020953817,1.405539732,4316810111,1016.211135,91508.05902,11236314.29,45.48377771,857.5728037,38380.98807,4.125881142,-20.76407052,0.046366241,36345126.04,22282711.9,446420.6078,36635.14525,9.6171875,-0.031234,31466,1.1349,0.03158,1580000,15777,3754.1,569.77,1.95E-03,-0.066293917
