PPG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_SDRMSSD,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_TP,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_ApEn,HRV_ShanEn,HRV_FuzzyEn,HRV_CD,HRV_KFD,HRV_LZC,EEG_PW_alpha,EEG_PW_beta,EEG_PW_theta,EEG_PW_gamma,EEG_PW_slowalpha,EEG_PW_all,EEG_SE_alpha,EEG_SE_beta,EEG_SE_theta,EEG_SE_gamma,EEG_SE_slowalpha,EEG_SE_all,temg_energy_values,temg_mean_values,temg_variance_values,zemg_energy_values,zemg_mean_values,zemg_variance_values,GSR_avg,GSR_avgderi,GSR_avgnagaderi,GSR_propnegaall,GSR_ps1,GSR_ps2,GSR_ps9,GSR_ps10,GSR_risingtime,Resp_avgderi,Resp_breathrhythm,Resp_energyratio,Resp_peakdistance,Resp_ps1,Resp_ps10,Resp_range,Resp_stdvariance,temp_var,temp_mean,classification
115.4488996,520.2595339,45.2034174,38.35224438,38.65563643,0.086886284,0.073717523,523.4375,57.9140625,0.110641791,76.171875,1.178638125,477.34375,564.0625,8.474576271,52.54237288,417.96875,644.53125,7.375,164.0625,0.051130926,27.33366265,56.76060999,0.481560411,4874.103609,2.076582664,4.394864867,471.4723947,0.644067797,0.648148148,0.942857143,0.117647059,52.78450363,53.1429352,52.46851326,42.59259259,0.556251118,0.443748882,20.40270751,18.22304683,0.592459169,0.407540831,43.68941872,36.23536309,0.585634107,0.414365893,34.0957166,28.67996665,1.123903118,1.454673051,1.307117693,1.336622727,-0.241541232,0.07381629,-0.479717068,0.0002323,0.097268917,0.51630036,4.732231134,1.115712801,1.889829519,1.935905701,0.697940701,2.375333333,10.30789388,0.011150165,8.132992857,0.74128936,21.09082826,0.394865376,0.002615517,0.02890785,0.788883118,0.013786933,1.665705851,702539485.7,396.5065102,25742.28215,68430135.85,130.6228462,758.217378,69642.38512,9.897663161,-10.64112383,0.011721803,114746449.8,64931907.65,1365791.101,210347.0505,14.140625,-0.52521,15911,0.5798,0.028065,206000,33965,6346.1,915.75,0.002707087,-0.025126414,1
142.5707941,421.0188356,15.62834403,15.93390397,16.0364183,0.037120297,0.03784606,421.875,17.37421875,0.041183333,23.4375,0.980823285,403.90625,433.59375,0,20.54794521,386.71875,453.125,4.5625,54.6875,0.061120403,11.33946012,18.86455028,0.601098884,672.0300717,1.663619791,3.534358817,125.5337568,0.684931507,0.671875,0.953488372,0.277777778,52.01612903,52.00823088,52.02339907,53.125,0.561769616,0.438230384,8.504002802,7.510961125,0.465122608,0.534877392,12.86560403,13.79664778,0.490796404,0.509203596,10.90508668,11.10770064,1.020417362,0.586991525,1.067292576,1.309212437,-0.43659556,-1.43659556,-0.087864813,0.000176811,0.024437037,0.158758184,3.843380643,1.418078976,1.878101039,3.219928359,0.847921172,1728.080278,1377.8851,8.355856225,102.3765539,658.5338301,3219.444757,0.305744825,0.00138191,0.011211174,0.548655142,0.016064095,0.942975928,88100506.87,147.9718376,1047.448385,71557207.34,116.2834483,5114.180876,3025.067551,0.494956646,-9.590270635,0.055743683,139856.024,85223.49827,2271.937692,495.0146913,2.859375,-0.24556,1389.6,0.11109,0.031128,3596.2,2853.1,1664.1,312.69,0.000784527,-0.038677084,1
153.292004,394.53125,90.44297452,132.9923721,133.8879435,0.229241599,0.337089577,371.09375,11.5828125,0.031212632,15.625,0.680061368,363.28125,382.8125,13.15789474,13.15789474,347.65625,750,4,39.0625,0.141826079,94.67307273,87.01594132,1.087996881,25880.64933,0.919120282,5.119945278,319.9124662,0.631578947,0.646153846,0.833333333,0.1,49.95287465,49.98469813,49.92595414,46.15384615,0.495542647,0.504457353,66.64491591,67.24170773,0.510719009,0.489280991,62.18560069,60.86645308,0.502492366,0.497507634,64.45383522,64.1333469,0.561406779,2.139699844,2.019841545,1.07539073,1.114018583,1.224223175,-0.941394066,0.032509297,1.101315142,0.470965143,3.629434655,0.415235266,0.722819782,2.196477909,0.493257435,33.74404757,35.41742103,0.195031824,17.66335775,14.19111985,87.58285231,0.261385579,0.003252884,0.043490094,0.666046932,0.033601704,1.466469536,498526763.9,335.6463687,17170.66477,25056208.77,66.39269755,2117.615541,25118.27179,-0.773735197,-93.59452234,0.048189633,13385898.23,4574955.12,90148.41504,1376.447685,12.40625,-0.077274,8878.1,0.1604,0.032155,89466,850.45,4013.1,857.46,0.002330017,-0.113977582,1
121.5312738,495.7157258,58.65864609,95.06027035,95.84131441,0.118331219,0.191763677,484.375,52.12265625,0.107608065,68.359375,0.617067949,449.21875,530.46875,51.61290323,79.03225806,375,625,8.857142857,125,0.036128154,67.77004334,48.51749726,1.396816554,10329.65998,0.715913623,4.721056136,138.937349,0.725806452,0.745762712,0.954545455,0.307692308,49.18032787,49.17155449,49.19816948,45.76271186,0.474795848,0.525204152,46.70106619,49.11763133,0.519971333,0.480028667,34.98550044,33.61491186,0.490102224,0.509897776,41.26120953,42.08624482,0.252714907,1.626223751,0.529029018,0.844845049,-0.285116168,-0.765229251,-0.305797922,0.002145807,0.230577034,0.476262223,4.878857045,1.436031455,1.88026148,5.930737338,1.056389668,1389.000955,1103.864319,7.754983468,75.03880151,495.5897341,2579.346581,0.32824596,0.001273206,0.093268273,0.471771095,0.01591188,0.7642745,3980402.948,26.18857576,350.813125,2967847329,866.8846311,21393.51632,1122.879314,0.245140357,-17.75227582,0.050533993,221501.5406,41409.23163,793.0355195,110.1058708,1.796875,0.46211,59370,0.60188,0.032435,1490000,69431,21959,3207.5,0.000388946,-0.007562279,1
146.1925026,410.625,52.10780323,64.54982892,64.98990391,0.12689876,0.157198975,410.15625,28.95703125,0.0706,37.109375,0.807249285,385.9375,429.6875,2.666666667,32,335.9375,792.96875,6.818181818,109.375,0.025935497,45.95480177,58.20604843,0.789519354,8403.280996,1.266593396,4.631418996,294.8935862,0.64,0.632352941,0.906976744,0.210526316,50.52854123,50.44294002,50.62848682,54.41176471,0.534616717,0.465383283,33.60127793,31.35017122,0.46662097,0.53337903,39.76035402,42.50950862,0.492730682,0.507269318,36.80986029,37.34897293,0.586510557,1.757679249,0.97965015,0.670872043,-0.105384845,0.509165551,-0.675673751,0.003683733,0.225815733,0.665840659,4.503176317,0.715232041,1.283138953,1.576616898,0.913560075,227.6765205,148.5955685,1.854294087,40.61421517,104.8365977,419.9556321,0.37340081,0.001781178,0.079379384,0.68443954,0.025778452,1.190947879,441048192.3,324.6003035,9493.41526,22883774.1,71.63472685,827.9977068,23355.91571,-5.891242409,-116.6108857,0.109143006,9845088.587,734962.2681,93976.38901,58337.58184,6.7421875,-0.20376,13407,0.20248,0.029939,134000,106000,4573.9,987.77,0.008717712,0.188218818,1
162.0760805,370.2936747,22.02757923,14.01132924,14.09682029,0.059486782,0.037838424,363.28125,11.5828125,0.031883871,11.71875,1.572126303,355.46875,375,1.204819277,7.228915663,343.75,453.125,3.608695652,31.25,0.099835824,9.967957217,29.66786057,0.335985037,929.056802,2.976323024,3.675012377,353.204546,0.626506024,0.587301587,0.864864865,0.238095238,50.87719298,50.90322084,50.85485391,52.38095238,0.660663507,0.339336493,8.102497701,5.806895903,0.36107831,0.63892169,17.82735571,23.71428555,0.391469673,0.608530327,13.84675198,17.26394189,1.549320987,0.740713768,1.36773267,1.279642715,1,1.574710935,-0.618925771,0.00070407,0.054978232,0.661310557,3.701203814,0.76570146,1.694182206,1.774090477,0.844884744,19.29508211,48.97091794,0.077682972,23.409105,6.464648785,92.44241578,0.373479787,0.001786059,0.059515772,0.672687165,0.019842316,1.593991429,16402249.84,52.60431463,1504.597135,3864562.048,29.48764337,136.9109092,13361.39319,1.099062148,-51.80643073,0.084136494,1255717.529,2280506.207,55564.45952,3137.896294,8.9296875,-0.23815,13588,0.33465,0.034047,19549,13494,6444.5,879.66,0.001873808,-0.061542738,1
156.3140179,383.7402344,15.13833364,8.701407796,8.757008411,0.03944943,0.022675255,382.8125,17.37421875,0.045385714,23.4375,1.73975683,371.09375,399.21875,0,1.25,347.65625,410.15625,5.333333333,46.875,0.130857161,6.19214003,20.41777096,0.303272088,397.190607,3.297369062,3.305969079,269.2997051,0.4875,0.453125,0.689655172,0.166666667,50,49.99859358,50.00138082,53.125,0.540816327,0.459183673,4.55371311,4.19598559,0.474755726,0.525244274,14.06835871,14.79752189,0.480319828,0.519680172,10.45597963,10.87595856,1.490522093,0.766813031,1.655401289,1.837974966,0.378768831,-0.532979208,-0.261905876,0.000697564,0.063863649,0.389312845,3.767145281,1.057677568,1.760289063,2.114048372,0.790241012,13.22040106,35.68505138,0.085631011,53.72663127,4.813468777,103.5178388,0.357163753,0.001680257,0.058569629,0.776458828,0.031345036,1.912140412,353991524.9,298.632513,3004.697594,377776625,302.8137634,6684.894989,2531.1015,0.766889982,-21.6964847,0.039854129,308675.8186,148826.4357,3164.758483,1226.921631,2.8515625,0.2579,94616,0.42279,0.033381,5160000,86261,18383,3088.1,0.001440642,0.070576601,1
145.349037,413.4818412,59.36698148,57.78552163,58.16144708,0.143578207,0.139753469,408.203125,52.12265625,0.127688038,68.359375,1.027367752,365.625,454.6875,27.02702703,60.81081081,312.5,640.625,12.33333333,85.9375,0.039489332,41.12635364,72.52569822,0.567059051,9370.483426,1.763484769,4.678732107,511.5918565,0.608108108,0.614285714,0.906976744,0.095238095,48.05031447,48.23966082,47.86050179,54.28571429,0.497652582,0.502347418,29.02434001,29.16092589,0.529248384,0.470751616,52.76205338,49.76085435,0.521555817,0.478444183,42.58078551,40.78297576,0.898544717,0.741936564,0.949687829,1.258214829,-0.034410793,-1.011814453,-0.084159865,0.000352606,0.045961393,0.662757791,5.225750832,1.196115319,1.804927273,2.620177479,1.006938384,62.10297375,61.70113953,0.283030784,7.797159045,21.31997613,132.2877921,0.302104667,0.002182122,0.052068362,0.612497704,0.036642064,1.006963418,8418306.983,40.21181764,575.4270166,2543824.347,21.38782347,205.0686674,17796.42389,4.285399084,-50.92429563,0.033342016,12495082.49,5873752.086,130507.136,38980.44241,8.578125,-1.2621,28267,0.73579,0.031555,438000,15293,9655.2,1293.5,0.002949439,-0.087971219,1
111.120592,585.401348,321.9347445,480.1853839,485.0598454,0.549938509,0.82026696,355.46875,28.95703125,0.081461538,507.8125,0.67043845,347.65625,1023.4375,68.62745098,68.62745098,335.9375,1367.1875,4.636363636,0,0.134305732,342.989106,302.7470218,1.132923138,326219.6208,0.882672413,6.220480188,1068.905777,0.764705882,0.795918367,0.974358974,0.444444444,49.89592007,49.8453232,49.80540364,55.10204082,0.494216195,0.505783805,241.1234159,243.928958,0.391108088,0.608891912,189.3338552,236.2381225,0.449063016,0.550936984,216.7807768,240.1143343,0.628977279,4.389115591,1.754127506,2.779141588,-1.162393533,-2.07360656,-0.266464551,0.08585325,3.711396586,0.735357407,4.287539254,1.011551574,0.266609778,4.024081236,1.223464289,340.6921144,233.2345123,1.836302197,37.4961323,141.0815464,614.4974174,0.400323193,0.000937646,0.140627644,0.737094632,0.029437514,1.016450265,16818207.23,47.72557888,2102.558129,2047754.413,18.48538162,191.6099431,3109.73917,0.763734175,-19.04818222,0.047408179,553160.8011,231793.7399,4840.800672,1196.010691,2.9140625,-0.36961,5698.7,0.13522,0.040774,14561,2697.8,3185.9,584.77,0.001059807,-0.039872257,1
135.9149985,441.6294643,15.32325421,11.67147772,11.71208783,0.034697083,0.026428213,445.3125,11.5828125,0.026010526,15.625,1.312880389,433.59375,453.125,0,4.285714286,378.90625,476.5625,3.5,78.125,0.042378586,8.281696729,18.6646723,0.443709731,485.6121729,2.253725644,3.393259675,168.2602024,0.657142857,0.666666667,0.9,0.111111111,55.42168675,55.77360383,55.09673517,43.33333333,0.548701299,0.451298701,6.158131104,5.584868843,0.784666352,0.215333648,16.53342707,8.661165113,0.745602918,0.254397082,12.4755118,7.287199089,1.0223301,1.340821124,1.165338454,1.533096027,-0.924194657,-1.479508785,-0.225722121,0.000472705,0.107162208,0.28184493,3.537255383,1.22420191,2.013940859,1.808678504,1.050734231,80.42260821,83.56014985,0.696967556,19.58976982,34.74746899,185.1458621,0.25283752,0.002846971,0.016919125,0.625964698,0.015035857,1.189887947,23610395.1,62.08474055,2294.62294,50383702.46,96.03805497,3898.463072,9828.130191,2.120454923,-7.78102352,0.003646783,2492613.424,1232295.018,30707.05772,9655.412742,6.203125,-0.12848,1875.2,0.57736,0.03263,66372,3190.2,3042.6,431.31,0.000202533,-0.013002934,1
